TYPE,DETAIL,NOM,SURFACE,ECLAIRAGE,OBJECTID,x,y
Aréna,,Centre Julien-Ducharme (Aréna),,,1,-7998694.827,5689743.036
Aréna,,Aréna Eugène-Lalonde,,,2,-8001939.123,5686890.81
Aréna,,Aréna Ivan-Dugré,,,3,-8004610.221,5682885.482
Aréna,,Complexe sportif Forage FTE (Aréna),,,4,-8013950.969,5679661.929
Aréna,,Aréna Philippe-Bergeron,,,5,-8009680.657,5696535.916
Aréna,,Aréna Jane et Eric Molson de l'Université Bishop's ,,,6,-7997442.248,5678954.116
Aréna,,Complexe sportif Thibault GM,,,7,-8009007.514,5681547.416
Aréna,,Aréna Collège Bishop (BCS),,,8,-7997311.898,5680245.077
Aréna,,Aréna Mont-Sainte-Anne,,,9,-8007518.497,5679882.125
Piscine,,Piscine de la Claire-Fontaine du parc Victoria ,,,10,-8002591.166,5687049.802
Piscine,,Piscine du parc des Optimistes ,,,11,-8001519.235,5687256.908
Piscine,,Piscine du parc de Saint-Alphonse-de-Liguori ,,,12,-8005508.595,5687072.644
Piscine,,Piscine du parc de Ma-Villa ,,,13,-8015851.84,5684668.797
Piscine,,Piscine du parc Central ,,,14,-8014822.156,5677469.087
Piscine,,Piscine du parc de Mi-Vallon ,,,15,-8013121.174,5681627.327
Piscine,,Piscine du parc Centennial ,,,16,-7999434.5,5679880.954
Piscine,,Piscine du parc Alfred-Élie-Dufresne ,,,17,-8003064.118,5683983.1
Piscine,,Piscine Sangster,,,18,-8004341.511,5682738.647
Piscine,,Piscine du parc Paul-Marin ,,,19,-8007449.367,5682870.307
Piscine,,Piscine Montcalm ,,,20,-8006545.683,5685145.775
Piscine,,Piscine du parc Nault ,,,21,-8008433.045,5695798.342
Tir à l'arc,,,,,22,-8004908.846,5681314.671
Pétanque,,,,,23,-8009270.035,5686433.767
Jeu de galets,,,,,24,-8009248.142,5686468.188
Pétanque,,,,,25,-7998320.359,5685996.82
Jeu de galets,,,,,26,-7998308.046,5686060.727
Planche à roulettes,,,,,27,-8009256.61,5696658.1
Préau et plancher de danse,,,,,28,-8005749.712,5684297.42
Pétanque,,,,,29,-8008552.672,5695659.413
Jeu de galets,,,,,30,-8008564.482,5695637.16
Préau et plancher de danse,,,,,31,-8008531.166,5695649.867
Préau et plancher de danse,,,,,32,-8013190.286,5681691.287
Pétanque,,,,,33,-8013279.241,5681753.014
Patinoire à bandes mobiles,,,Gazon,,34,-8007960.055,5684563.53
"Surface, anneau ou étang glacé",,,,,35,-8007960.399,5684594.843
Jeu de galets,,,,,36,-8005843.479,5683879.072
Pétanque,,,,,37,-8004917.136,5684897.677
Pétanque,,,,,38,-8004910.586,5684934.33
Jeu de galets,,,,,39,-8017508.654,5670613.004
Jeu de galets,,,,,40,-8003057.179,5684161.396
Planche à roulettes,,,,,41,-8002997.909,5680618.099
Patinoire à bandes fixes,,,,,42,-8003192.358,5683929.875
Pétanque,,,,,43,-8001608.025,5684955.347
Jeu de galets,,,,,44,-8002519.423,5682410.607
"Surface, anneau ou étang glacé",,,Gazon,,45,-8012041.679,5680519.628
Patinoire à bandes mobiles,,,Gazon,,46,-8012016.478,5680517.496
Patinoire à bandes mobiles,,,Asphalte,,47,-8013111.875,5681565.039
"Surface, anneau ou étang glacé",,,,,48,-8012103.641,5682382.258
Patinoire à bandes mobiles,,,Poussière,,49,-8013059.602,5683395.883
"Surface, anneau ou étang glacé",,,,,50,-8013074.618,5683410.214
Plage,,,,,51,-8006909.818,5683932.499
Patinoire à bandes mobiles,,,Gazon,,52,-8009237.708,5682850.826
"Surface, anneau ou étang glacé",,,,,53,-8009240.097,5682789.318
Pétanque,,,,,54,-8003011.95,5680682.544
Pétanque,,,,,55,-8003048.677,5680685.207
Jeu d'eau,,,,,56,-8003006.578,5680715.56
Préau et plancher de danse,,,,,57,-8003051.725,5680716.961
Patinoire à bandes mobiles,,,Poussière,,58,-8014236.92,5674211.034
Patinoire à bandes mobiles,,,Poussière,,59,-8014284.919,5674207.053
"Surface, anneau ou étang glacé",,,Poussière,,60,-8014275.317,5674231.835
Planche à roulettes,,,,,61,-8019255.386,5676038.09
Pétanque,,,,,62,-8019369.882,5676028.106
Plage,,,,,63,-8017766.859,5674391.012
"Surface, anneau ou étang glacé",,,,,64,-8014996.459,5677757.905
Patinoire à bandes fixes,,,Asphalte,,65,-8015004.302,5677640.803
Jeu de galets,,,,,66,-8015054.743,5677741.634
Préau et plancher de danse,,,,,67,-8015854.713,5684524.566
"Surface, anneau ou étang glacé",,,,,68,-8015790.965,5684562.742
Piste multifonctionnelle,,,,,69,-8000666.561,5683570.94
Planche à roulettes,,,,,70,-7998597.706,5679604.145
Pétanque,,,,,71,-8002633.382,5685765.41
"Surface, anneau ou étang glacé",,,Poussière,,72,-8002647.971,5685769.056
Jeu de galets,,,,,73,-8000302.547,5685437.599
Planche à roulettes,,,,,74,-7998256.897,5685746.784
Pétanque,,,Poussière,,75,-8001004.466,5686752.372
Jeu de galets,,,,,76,-8001091.56,5686816.6
Préau et plancher de danse,,,,,77,-8002745.893,5687187.686
Pétanque,,,,,78,-8002741.427,5687151.327
Jeu de galets,,,,,79,-8002704.988,5687147.043
Jeu de galets,,,,,80,-8002790.623,5687231.136
Jeu de galets,,,,,81,-8002820.415,5687226.706
Planche à roulettes,,,,,82,-8008836.585,5681675.615
Planche à roulettes,,,,,83,-8001637.314,5683963.26
Jeu de galets,,,,,84,-7999860.253,5688700.074
Glissade sur tube,,,,,85,-8004817.407,5682089.175
Glissade sur tube,,,,,86,-8014031.59,5674090.195
Jeu de galets,,,,,87,-8005466.42,5686957.139
Pétanque,,,,,88,-8005494.648,5686966.246
"Surface, anneau ou étang glacé",,,Poussière,,89,-8010260.85,5686768.446
Patinoire à bandes mobiles,,,Poussière,,90,-8010281.844,5686770.436
Piste multifonctionnelle,,,,,91,-8003961.513,5685614.927
"Surface, anneau ou étang glacé",,,,,92,-8009365.949,5686352.399
Piste multifonctionnelle,,,,,93,-8009372.217,5686350.594
Jeu d'eau,,,,,94,-8007966.567,5684635.881
Planche à roulettes,,,,,95,-8013124.522,5681566.173
Préau et plancher de danse,,,,,96,-7999495.181,5679840.836
Préau et plancher de danse,,,,,97,-7998821.47,5689640.069
"Surface, anneau ou étang glacé",,,,,98,-7999318.972,5679940.116
"Surface, anneau ou étang glacé",,,Poussière,,99,-8005578.116,5687189.371
Piste multifonctionnelle,,,,,100,-8006688.028,5684858.721
Planche à roulettes,,,,,101,-8006639.518,5685084.719
Préau et plancher de danse,,,,,102,-8006675.445,5685157.822
"Surface, anneau ou étang glacé",,,Gazon,,103,-8010662.354,5679063.057
Patinoire à bandes mobiles,,,Gazon,,104,-8010647.793,5679041.346
"Surface, anneau ou étang glacé",,,,,105,-8004360.808,5682807.997
Patinoire à bandes mobiles,,,Gazon,,106,-8004416.841,5682854.687
"Surface, anneau ou étang glacé",,,,,107,-8002822.284,5680665.962
Patinoire à bandes mobiles,,,Poussière,,108,-8000533.669,5683677.192
"Surface, anneau ou étang glacé",,,,,109,-8000056.071,5684971.784
Patinoire à bandes mobiles,,,,,110,-7998337.819,5685726.282
"Surface, anneau ou étang glacé",,,,,111,-7998368.072,5685785.392
