type,detail,nom,surface,eclairage,objectid,x,y
aréna,,centre julien-ducharme (aréna),,,1,-7998694.827,5689743.036
aréna,,aréna eugène-lalonde,,,2,-8001939.123,5686890.81
aréna,,aréna ivan-dugré,,,3,-8004610.221,5682885.482
aréna,,complexe sportif forage fte (aréna),,,4,-8013950.969,5679661.929
aréna,,aréna philippe-bergeron,,,5,-8009680.657,5696535.916
aréna,,aréna jane et eric molson de l'université bishop's ,,,6,-7997442.248,5678954.116
aréna,,complexe sportif thibault gm,,,7,-8009007.514,5681547.416
aréna,,aréna collège bishop (bcs),,,8,-7997311.898,5680245.077
aréna,,aréna mont-sainte-anne,,,9,-8007518.497,5679882.125
piscine,,piscine de la claire-fontaine du parc victoria ,,,10,-8002591.166,5687049.802
piscine,,piscine du parc des optimistes ,,,11,-8001519.235,5687256.908
piscine,,piscine du parc de saint-alphonse-de-liguori ,,,12,-8005508.595,5687072.644
piscine,,piscine du parc de ma-villa ,,,13,-8015851.84,5684668.797
piscine,,piscine du parc central ,,,14,-8014822.156,5677469.087
piscine,,piscine du parc de mi-vallon ,,,15,-8013121.174,5681627.327
piscine,,piscine du parc centennial ,,,16,-7999434.5,5679880.954
piscine,,piscine du parc alfred-élie-dufresne ,,,17,-8003064.118,5683983.1
piscine,,piscine sangster,,,18,-8004341.511,5682738.647
piscine,,piscine du parc paul-marin ,,,19,-8007449.367,5682870.307
piscine,,piscine montcalm ,,,20,-8006545.683,5685145.775
piscine,,piscine du parc nault ,,,21,-8008433.045,5695798.342
tir à l'arc,,,,,22,-8004908.846,5681314.671
planche à roulettes,,,,,27,-8009256.61,5696658.1
patinoire à bandes mobiles,,,gazon,,34,-8007960.055,5684563.53
"surface, anneau ou étang glacé",,,,,35,-8007960.399,5684594.843
planche à roulettes,,,,,41,-8002997.909,5680618.099
patinoire à bandes fixes,,,,,42,-8003192.358,5683929.875
"surface, anneau ou étang glacé",,,gazon,,45,-8012041.679,5680519.628
patinoire à bandes mobiles,,,gazon,,46,-8012016.478,5680517.496
patinoire à bandes mobiles,,,asphalte,,47,-8013111.875,5681565.039
"surface, anneau ou étang glacé",,,,,48,-8012103.641,5682382.258
patinoire à bandes mobiles,,,poussière,,49,-8013059.602,5683395.883
"surface, anneau ou étang glacé",,,,,50,-8013074.618,5683410.214
plage,,,,,51,-8006909.818,5683932.499
patinoire à bandes mobiles,,,gazon,,52,-8009237.708,5682850.826
"surface, anneau ou étang glacé",,,,,53,-8009240.097,5682789.318
patinoire à bandes mobiles,,,poussière,,58,-8014236.92,5674211.034
patinoire à bandes mobiles,,,poussière,,59,-8014284.919,5674207.053
"surface, anneau ou étang glacé",,,poussière,,60,-8014275.317,5674231.835
planche à roulettes,,,,,61,-8019255.386,5676038.09
plage,,,,,63,-8017766.859,5674391.012
"surface, anneau ou étang glacé",,,,,64,-8014996.459,5677757.905
patinoire à bandes fixes,,,asphalte,,65,-8015004.302,5677640.803
"surface, anneau ou étang glacé",,,,,68,-8015790.965,5684562.742
piste multifonctionnelle,,,,,69,-8000666.561,5683570.94
planche à roulettes,,,,,70,-7998597.706,5679604.145
"surface, anneau ou étang glacé",,,poussière,,72,-8002647.971,5685769.056
planche à roulettes,,,,,74,-7998256.897,5685746.784
planche à roulettes,,,,,82,-8008836.585,5681675.615
planche à roulettes,,,,,83,-8001637.314,5683963.26
"surface, anneau ou étang glacé",,,poussière,,89,-8010260.85,5686768.446
patinoire à bandes mobiles,,,poussière,,90,-8010281.844,5686770.436
piste multifonctionnelle,,,,,91,-8003961.513,5685614.927
"surface, anneau ou étang glacé",,,,,92,-8009365.949,5686352.399
piste multifonctionnelle,,,,,93,-8009372.217,5686350.594
planche à roulettes,,,,,95,-8013124.522,5681566.173
"surface, anneau ou étang glacé",,,,,98,-7999318.972,5679940.116
"surface, anneau ou étang glacé",,,poussière,,99,-8005578.116,5687189.371
piste multifonctionnelle,,,,,100,-8006688.028,5684858.721
planche à roulettes,,,,,101,-8006639.518,5685084.719
"surface, anneau ou étang glacé",,,gazon,,103,-8010662.354,5679063.057
patinoire à bandes mobiles,,,gazon,,104,-8010647.793,5679041.346
"surface, anneau ou étang glacé",,,,,105,-8004360.808,5682807.997
patinoire à bandes mobiles,,,gazon,,106,-8004416.841,5682854.687
"surface, anneau ou étang glacé",,,,,107,-8002822.284,5680665.962
patinoire à bandes mobiles,,,poussière,,108,-8000533.669,5683677.192
"surface, anneau ou étang glacé",,,,,109,-8000056.071,5684971.784
patinoire à bandes mobiles,,,,,110,-7998337.819,5685726.282
"surface, anneau ou étang glacé",,,,,111,-7998368.072,5685785.392
"surface, anneau ou étang glacé",,,poussière,,112,-7999720.386,5687306.874
patinoire à bandes mobiles,,,poussière,,113,-7999646.824,5687292.737
"surface, anneau ou étang glacé",,,,,114,-7999826.848,5688639.48
patinoire à bandes mobiles,,,poussière,,115,-7999866.213,5688621.97
patinoire à bandes fixes,,,asphalte,,116,-8001430.111,5688779.555
patinoire à bandes mobiles,,,gazon,,117,-8005601.268,5687068.355
patinoire à bandes fixes,,,asphalte,,118,-8005518.26,5687121.679
"surface, anneau ou étang glacé",,,poussière,,119,-8003172.869,5689606.092
patinoire à bandes fixes,,,poussière,,120,-8003134.65,5689605.199
"surface, anneau ou étang glacé",,,gazon,,121,-8005750.688,5692954.9
patinoire à bandes mobiles,,,poussière,,122,-8005747.774,5692929.516
piste multifonctionnelle,,,,,123,-8008397.991,5695547.992
"surface, anneau ou étang glacé",,,,,124,-8009223.601,5697987.76
"surface, anneau ou étang glacé",,,gazon,,125,-8001487.662,5688807.064
patinoire à bandes mobiles,,,gazon,,126,-8001055.532,5686730.869
patinoire à bandes mobiles,,,gazon,,127,-8001100.354,5686733.075
patinoire à bandes mobiles,,,gazon,,128,-8004434.898,5682800.771
"surface, anneau ou étang glacé",,,,,129,-8013098.57,5681615.593
patinoire à bandes fixes,,,poussière,,130,-8012175.648,5682422.349
planche à roulettes,,,,,131,-8016273.255,5683272.223
patinoire à bandes mobiles,,,poussière,,132,-8019562.12,5683650.693
"surface, anneau ou étang glacé",,,,,133,-8019597.154,5683554.545
"surface, anneau ou étang glacé",,,,,134,-8019456.474,5675966.312
"surface, anneau ou étang glacé",,,,,135,-8004804.792,5684979.53
"surface, anneau ou étang glacé",,,,,136,-7996475.713,5685902.483
"surface, anneau ou étang glacé",,,,,137,-8008405.021,5695730.632
patinoire à bandes fixes,,,asphalte,,138,-8008471.116,5695746.607
patinoire à bandes fixes,,,asphalte,,139,-8015817.943,5684594.79
patinoire à bandes mobiles,,,poussière,,141,-8000045.4,5685016.047
patinoire à bandes mobiles,,,poussière,,142,-8019477.955,5676014.224
patinoire à bandes mobiles,,,poussière,,148,-8009206.84,5697940.994
patinoire à bandes fixes,,,asphalte,,149,-7996482.388,5685762.29
"surface, anneau ou étang glacé",,,poussière,,150,-8001112.775,5686836.955
"surface, anneau ou étang glacé",,,gazon,,151,-8003172.196,5683904.132
patinoire à bandes fixes,,,asphalte,,152,-8007570.25,5682904.294
"surface, anneau ou étang glacé",,,poussière,,153,-8007571.262,5682840.117
"surface, anneau ou étang glacé",,,,,154,-8000500.277,5683678.814
patinoire à bandes fixes,,,asphalte,,156,-8002827.92,5680710.176
