titre;date;arrondissement_organisation;parcours_km;type_cyclovia
cyclovia du sud-ouest;2021-06-20;le sud-ouest;2;festive
cyclovia du parc jean-drapeau;2021-06-23;parc jean-drapeau;4.4;sportive
cyclovia de la voie camilien-houde;2021-06-27;ville-marie;2.2;sportive
cyclovia du parc jean-drapeau;2021-06-30;parc jean-drapeau;4.4;sportive
cyclovia de la voie camilien-houde;2021-07-04;ville-marie;2.2;sportive
cyclovia du parc jean-drapeau;2021-07-07;parc jean-drapeau;4.4;sportive
cyclovia de la voie camilien-houde;2021-07-11;ville-marie;2.2;sportive
cyclovia du sud-ouest;2021-07-11;le sud-ouest;2;festive
cyclovia du parc jean-drapeau;2021-07-14;parc jean-drapeau;4.4;sportive
cyclovia de la voie camilien-houde;2021-07-18;ville-marie;2.2;sportive
cyclovia du parc jean-drapeau;2021-07-21;parc jean-drapeau;4.4;sportive
cyclovia de la voie camilien-houde;2021-07-25;ville-marie;2.2;sportive
cyclovia du parc jean-drapeau;2021-07-28;parc jean-drapeau;4.4;sportive
cyclovia de la voie camilien-houde;2021-08-01;ville-marie;2.2;sportive
cyclovia du parc jean-drapeau;2021-08-04;parc jean-drapeau;4.4;sportive
cyclovia de la voie camilien-houde;2021-08-08;ville-marie;2.2;sportive
cyclovia du parc jean-drapeau;2021-08-11;parc jean-drapeau;4.4;sportive
cyclovia de la voie camilien-houde;2021-08-15;ville-marie;2.2;sportive
cyclovia du parc jean-drapeau;2021-08-18;parc jean-drapeau;4.4;sportive
cyclovia de la voie camilien-houde;2021-08-22;ville-marie;2.2;sportive
cyclovia du sud-ouest;2021-08-22;le sud-ouest;2;festive
cyclovia du parc jean-drapeau;2021-08-25;parc jean-drapeau;4.4;sportive
cyclovia de la voie camilien-houde;2021-08-29;ville-marie;2.2;sportive
cyclovia du parc jean-drapeau;2021-09-01;parc jean-drapeau;4.4;sportive
cyclovia de la voie camilien-houde;2021-09-05;ville-marie;2.2;sportive
cyclovia du parc jean-drapeau;2021-09-08;parc jean-drapeau;4.4;sportive
cyclovia de la voie camilien-houde;2021-09-12;ville-marie;2.2;sportive
cyclovia du parc jean-drapeau;2021-09-15;parc jean-drapeau;4.4;sportive
cyclovia de la voie camilien-houde;2021-09-19;ville-marie;2.2;sportive
cyclovia du sud-ouest;2021-09-19;le sud-ouest;2;festive
cyclovia du parc jean-drapeau;2021-09-22;parc jean-drapeau;4.4;sportive
cyclovia de la voie camilien-houde;2021-09-26;ville-marie;2.2;sportive
cyclovia du sud-ouest;2022-06-19;le sud-ouest;2;festive
cyclovia du parc jean-drapeau;2022-06-29;parc jean-drapeau;4.4;sportive
cyclovia de la voie camilien-houde;2022-07-03;ville-marie;2.2;sportive
cyclovia du parc jean-drapeau;2022-07-06;parc jean-drapeau;4.4;sportive
cyclovia de la voie camilien-houde;2022-07-10;ville-marie;2.2;sportive
cyclovia du sud-ouest;2022-07-10;le sud-ouest;2;festive
cyclovia du parc jean-drapeau;2022-07-13;parc jean-drapeau;4.4;sportive
cyclovia de la voie camilien-houde;2022-07-17;ville-marie;2.2;sportive
cyclovia du parc jean-drapeau;2022-07-20;parc jean-drapeau;4.4;sportive
cyclovia de la voie camilien-houde;2022-07-24;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2022-07-31;ville-marie;2.2;sportive
cyclovia du parc jean-drapeau;2022-08-03;parc jean-drapeau;4.4;sportive
cyclovia de la voie camilien-houde;2022-08-07;ville-marie;2.2;sportive
cyclovia du parc jean-drapeau;2022-08-10;parc jean-drapeau;4.4;sportive
cyclovia du parc jean-drapeau;2022-08-17;parc jean-drapeau;4.4;sportive
cyclovia de la voie camilien-houde;2022-08-21;ville-marie;2.2;sportive
cyclovia du sud-ouest;2022-08-21;le sud-ouest;2;festive
cyclovia du parc jean-drapeau;2022-08-24;parc jean-drapeau;4.4;sportive
cyclovia de la voie camilien-houde;2022-08-28;ville-marie;2.2;sportive
cyclovia du parc jean-drapeau;2022-08-31;parc jean-drapeau;4.4;sportive
cyclovia de l'arrondissement riviã¨re-des-prairies-pointe-aux-trembles;2022-10-29;riviã¨re-des-prairies-pointe-aux-trembles;1;festive
cyclovia de la voie camilien-houde;2023-06-18;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2023-06-25;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2023-07-02;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2023-07-09;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2023-07-16;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2023-07-23;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2023-07-30;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2023-08-06;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2023-08-13;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2023-08-20;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2023-08-27;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2023-09-03;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2023-09-10;ville-marie;2.2;sportive
cyclovia du parc jean-drapeau;2023-04-12;parc jean-drapeau;4.4;sportive
cyclovia du parc jean-drapeau;2023-04-19;parc jean-drapeau;4.4;sportive
cyclovia du parc jean-drapeau;2023-04-26;parc jean-drapeau;4.4;sportive
cyclovia du parc jean-drapeau;2023-05-03;parc jean-drapeau;4.4;sportive
cyclovia du parc jean-drapeau;2023-05-10;parc jean-drapeau;4.4;sportive
cyclovia du parc jean-drapeau;2023-05-17;parc jean-drapeau;4.4;sportive
cyclovia du parc jean-drapeau;2023-05-24;parc jean-drapeau;4.4;sportive
cyclovia du parc jean-drapeau;2023-04-13;parc jean-drapeau;4.4;sportive
cyclovia du parc jean-drapeau;2023-04-20;parc jean-drapeau;4.4;sportive
cyclovia du parc jean-drapeau;2023-04-27;parc jean-drapeau;4.4;sportive
cyclovia du parc jean-drapeau;2023-05-04;parc jean-drapeau;4.4;sportive
cyclovia du parc jean-drapeau;2023-05-11;parc jean-drapeau;4.4;sportive
cyclovia du parc jean-drapeau;2023-05-18;parc jean-drapeau;4.4;sportive
cyclovia du parc jean-drapeau;2023-05-25;parc jean-drapeau;4.4;sportive
cyclovia de l'arrondissement riviã¨re-des-prairies-pointe-aux-trembles;2023-10-29;riviã¨re-des-prairies-pointe-aux-trembles;1;festive
cyclovia du sud-ouest;2023-06-18;le sud-ouest;2;festive
cyclovia du sud-ouest;2023-07-23;le sud-ouest;2;festive
cyclovia du sud-ouest;2023-08-27;le sud-ouest;2;festive
cyclovia des mardis cyclistes de lachine;2023-08-08;lachine;1.6;sportive
cyclovia de pierrefonds-roxboro;2023-09-09;pierrefonds-roxboro;2.3;festive
cyclovia de la voie camilien-houde;2024-06-15;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2024-06-22;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2024-06-29;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2024-07-06;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2024-07-13;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2024-07-20;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2024-07-27;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2024-08-03;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2024-08-10;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2024-08-17;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2024-08-24;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2024-08-31;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2024-09-07;ville-marie;2.2;sportive
cyclovia des mardis cyclistes de lachine;2024-08-06;lachine;1.6;sportive
cyclovia des mardis cyclistes de lachine;2025-08-05;lachine;1.6;sportive
cyclovia de la voie camilien-houde;2025-06-08;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2025-06-15;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2025-06-22;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2025-06-29;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2025-07-06;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2025-07-13;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2025-07-20;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2025-07-27;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2025-08-03;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2025-08-10;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2025-08-17;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2025-08-24;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2025-08-31;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2025-09-07;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2025-06-16;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2025-07-14;ville-marie;2.2;sportive
cyclovia de la voie camilien-houde;2025-08-18;ville-marie;2.2;sportive
