objectid,id,nom,arrond,type
1,003-0058,aire de jeu 18 mois à 5 ans,le plateau-mont-royal,aire de jeu - enfant
2,003-0065,aire de jeu 18 mois à 5 ans,le plateau-mont-royal,aire de jeu - enfant
3,003-0053,aire de jeu 18 mois à 5 ans,le plateau-mont-royal,aire de jeu - enfant
4,073-0003,soccer à 11,saint-laurent,sportif
5,003-0046,aire de jeu 18 mois à 5 ans,le plateau-mont-royal,aire de jeu - enfant
6,075-0080,soccer à 4-5,rivière-des-prairies-pointe-aux-trembles,sportif
7,075-0079,soccer à 4-5,rivière-des-prairies-pointe-aux-trembles,sportif
8,042-0149,jeux d'eau,rivière-des-prairies-pointe-aux-trembles,récréatif
9,049-0030,pastille - basketball,rivière-des-prairies-pointe-aux-trembles,récréatif
10,072-0033,anneau / rond de glace,rivière-des-prairies-pointe-aux-trembles,loisirs et détente
11,065-0017,patinoire 4 saisons,rivière-des-prairies-pointe-aux-trembles,récréatif
12,003-0510,aire de jeu 18 mois à 5 ans,rivière-des-prairies-pointe-aux-trembles,aire de jeu - enfant
13,032-0012,fer / galet,rivière-des-prairies-pointe-aux-trembles,loisirs et détente
14,073-0029-76-s1,soccer sous-terrain à 7,villeray-saint-michel-parc-extension,sportif
15,073-0029-76-s2,soccer sous-terrain à 7,villeray-saint-michel-parc-extension,sportif
16,073-0057-76-s1,soccer sous-terrain à 7,côte-des-neiges-notre-dame-de-grâce,sportif
17,042-0148,jeux d'eau,rivière-des-prairies-pointe-aux-trembles,récréatif
18,001-0025,abri soleil,rivière-des-prairies-pointe-aux-trembles,plein air
19,003-0429,aire de jeu 18 mois à 5 ans,montréal-nord,aire de jeu - enfant
20,042-0150,jeux d'eau,rivière-des-prairies-pointe-aux-trembles,récréatif
21,003-0511,aire de jeu 18 mois à 5 ans,rivière-des-prairies-pointe-aux-trembles,aire de jeu - enfant
22,012-0022,aire d'entraînement pour adultes,le sud-ouest,loisirs et détente
23,004-0065,aire de jeu  5 à 12 ans,ahuntsic-cartierville,aire de jeu - enfant
24,081-0064,tennis,lasalle,sportif
25,042-0152,jeux d'eau,rivière-des-prairies-pointe-aux-trembles,récréatif
26,012-0061,aire d'entraînement pour adultes,rivière-des-prairies-pointe-aux-trembles,loisirs et détente
27,013-0050,aire d'exercice canin,rivière-des-prairies-pointe-aux-trembles,loisirs et détente
28,012-0060,aire d'entraînement pour adultes,rivière-des-prairies-pointe-aux-trembles,loisirs et détente
29,012-0062,aire d'entraînement pour adultes,rivière-des-prairies-pointe-aux-trembles,loisirs et détente
30,020-0024,belvédère,rivière-des-prairies-pointe-aux-trembles,loisirs et détente
31,062-0005,plancher de danse,rivière-des-prairies-pointe-aux-trembles,loisirs et détente
32,012-0063,aire d'entraînement pour adultes,rivière-des-prairies-pointe-aux-trembles,loisirs et détente
33,095-0104,pétanque,saint-léonard,loisirs et détente
34,095-0102,pétanque,le sud-ouest,loisirs et détente
35,095-0106,pétanque,ville-marie,loisirs et détente
36,062-0004,plancher de danse,rosemont-la petite-patrie,loisirs et détente
37,095-0103,pétanque,le sud-ouest,loisirs et détente
38,076-0157,soccer à 7,rivière-des-prairies-pointe-aux-trembles,sportif
39,075-0083,soccer à 4-5,rivière-des-prairies-pointe-aux-trembles,sportif
40,075-0082,soccer à 4-5,rivière-des-prairies-pointe-aux-trembles,sportif
41,075-0081,soccer à 4-5,rivière-des-prairies-pointe-aux-trembles,sportif
42,053-0078,patinoire sans bandes,rivière-des-prairies-pointe-aux-trembles,récréatif
43,042-0151,jeux d'eau,rivière-des-prairies-pointe-aux-trembles,récréatif
44,042-0153,jeux d'eau,rivière-des-prairies-pointe-aux-trembles,récréatif
45,001-0029,abri soleil,rivière-des-prairies-pointe-aux-trembles,plein air
46,056-0014,piste cyclable,l'île-bizard-sainte-geneviève,plein air
47,073-0012-76-s1,soccer sous-terrain à 7,ahuntsic-cartierville,sportif
48,076-0085,soccer à 7,lasalle,sportif
49,095-0107,pétanque,le plateau-mont-royal,loisirs et détente
50,002-0007,aire de glissade,saint-laurent,loisirs et détente
51,053-0090,patinoire sans bandes,rivière-des-prairies-pointe-aux-trembles,récréatif
52,009-0060,aire de pique-nique,villeray-saint-michel-parc-extension,plein air
53,042-0154,jeux d'eau,villeray-saint-michel-parc-extension,récréatif
54,003-0165,aire de jeu 18 mois à 5 ans,villeray-saint-michel-parc-extension,aire de jeu - enfant
55,009-0059,aire de pique-nique,villeray-saint-michel-parc-extension,plein air
56,009-0061,aire de pique-nique,villeray-saint-michel-parc-extension,plein air
57,032-0020,fer / galet,anjou,loisirs et détente
58,003-0305,aire de jeu 18 mois à 5 ans,verdun,aire de jeu - enfant
59,053-0013,patinoire sans bandes,ahuntsic-cartierville,récréatif
60,012-0064,aire d'entraînement pour adultes,villeray-saint-michel-parc-extension,loisirs et détente
61,073-0104-76-s2,soccer sous-terrain à 7,anjou,sportif
62,073-0001-76-s2,soccer sous-terrain à 7,saint-laurent,sportif
63,073-0009-76-s1,soccer sous-terrain à 7,le plateau-mont-royal,sportif
64,073-0012-76-s2,soccer sous-terrain à 7,ahuntsic-cartierville,sportif
65,073-0013-76-s1,soccer sous-terrain à 7,ahuntsic-cartierville,sportif
66,073-0009-76-s2,soccer sous-terrain à 7,le plateau-mont-royal,sportif
67,073-0011-76-s1,soccer sous-terrain à 7,ahuntsic-cartierville,sportif
68,073-0011-76-s2,soccer sous-terrain à 7,ahuntsic-cartierville,sportif
69,073-0017-76-s1,soccer sous-terrain à 7,ahuntsic-cartierville,sportif
70,004-0455,aire de jeu  5 à 12 ans,villeray-saint-michel-parc-extension,aire de jeu - enfant
71,073-0017-76-s2,soccer sous-terrain à 7,ahuntsic-cartierville,sportif
72,073-0027-76-s2,soccer sous-terrain à 7,rosemont-la petite-patrie,sportif
73,073-0030-76-s2,soccer sous-terrain à 7,villeray-saint-michel-parc-extension,sportif
74,073-0035-76-s1,soccer sous-terrain à 7,villeray-saint-michel-parc-extension,sportif
75,073-0037-76-s1,soccer sous-terrain à 7,outremont,sportif
76,073-0038-76-s1,soccer sous-terrain à 7,ville-marie,sportif
77,073-0038-76-s2,soccer sous-terrain à 7,ville-marie,sportif
78,073-0046-76-s1,soccer sous-terrain à 7,pierrefonds-roxboro,sportif
79,073-0050-76-s1,soccer sous-terrain à 7,l'île-bizard-sainte-geneviève,sportif
80,073-0050-76-s2,soccer sous-terrain à 7,l'île-bizard-sainte-geneviève,sportif
81,073-0051-76-s1,soccer sous-terrain à 7,l'île-bizard-sainte-geneviève,sportif
82,073-0055-76-s1,soccer sous-terrain à 7,côte-des-neiges-notre-dame-de-grâce,sportif
83,073-0062-76-s1,soccer sous-terrain à 7,verdun,sportif
84,073-0063-76-s2,soccer sous-terrain à 7,verdun,sportif
85,073-0064-76-s1,soccer sous-terrain à 7,verdun,sportif
86,073-0077-76-s2,soccer sous-terrain à 7,rivière-des-prairies-pointe-aux-trembles,sportif
