sport,sport_type,sport_location,city,region,latitude,longitude
soccer,ball sports,parc multisport réal-dufresne,shawinigan,québec,,
ball,ball sports,parc multisport réal-dufresne,shawinigan,québec,,
tennis,ball sports,parc multisport réal-dufresne,shawinigan,québec,,
skateboarding,board sports,parc multisport réal-dufresne,shawinigan,québec,,
volleyball,ball sports,parc multisport réal-dufresne,shawinigan,québec,,
basketball,ball sports,parc multisport réal-dufresne,shawinigan,québec,,
outdoor rink,ice sports,parc morand,shawinigan,québec,,
basketball,ball sports,parc wellie-robitaille,shawinigan,québec,,
soccer,ball sports,parc wellie-robitaille,shawinigan,québec,,
outdoor rink,ice sports,parc robitaille,shawinigan,québec,,
outdoor rink,ice sports,parc saint-michel,shawinigan,québec,,
basketball,ball sports,parc saint-michel,shawinigan,québec,,
outdoor rink,ice sports,parc du clair-val,shawinigan,québec,,
outdoor rink,ice sports,parc du boisé,shawinigan,québec,,
indoor rink,ice sports,aréna gilles-bourassa,shawinigan,québec,,
bmx,multi-sport,station plein-air val-mauricie,shawinigan,québec,,
ball,ball sports,station plein-air val-mauricie,shawinigan,québec,,
outdoor pool,water sports,station plein-air val-mauricie,shawinigan,québec,,
tennis,ball sports,école secondaire val-mauricie,shawinigan,québec,,
volleyball,ball sports,école secondaire val-mauricie,shawinigan,québec,,
basketball,ball sports,parc ludger-gerbeau,shawinigan,québec,,
outdoor rink,ice sports,parc jacob,shawinigan,québec,,
outdoor rink,ice sports,parc belgoville,shawinigan,québec,,
outdoor rink,ice sports,parc lafayette,shawinigan,québec,,
soccer,ball sports,parc bellevue,shawinigan,québec,,
outdoor rink,ice sports,parc bellevue,shawinigan,québec,,
volleyball,ball sports,parc andré-yvon-perreault,shawinigan,québec,,
outdoor rink,ice sports,parc andré-yvon-perreault,shawinigan,québec,,
athletics,multi-sport,complexe sportif rené-perron,shawinigan,québec,,
soccer,ball sports,complexe sportif rené-perron,shawinigan,québec,,
gymnase,multi-sport,école secondaire des chutes,shawinigan,québec,,
soccer,ball sports,complexe sportif rené-perron,shawinigan,québec,,
ball,ball sports,parc frank-gauthier,shawinigan,québec,,
outdoor pool,water sports,parc frank-gauthier,shawinigan,québec,,
tennis,ball sports,parc frank-gauthier,shawinigan,québec,,
indoor rink,ice sports,aréna de grand-mère,shawinigan,québec,,
indoor pool,water sports,école secondaire du rocher,shawinigan,québec,,
badminton,multi-sport,école secondaire du rocher,shawinigan,québec,,
basketball,ball sports,parc de la rivière grand-mère,shawinigan,québec,,
tennis,ball sports,parc de la rivière grand-mère,shawinigan,québec,,
petanque,multi-sport,parc multisport manfredo-devito,shawinigan,québec,,
outdoor rink,ice sports,parc multisport manfredo-devito,shawinigan,québec,,
bocce,multi-sport,parc multisport manfredo-devito,shawinigan,québec,,
soccer,ball sports,parc multisport manfredo-devito,shawinigan,québec,,
soccer,ball sports,complexe sportif du domaine-laflèche,shawinigan,québec,,
basketball,ball sports,parc de sainte-flore,shawinigan,québec,,
outdoor rink,ice sports,parc de sainte-flore,shawinigan,québec,,
tennis,ball sports,parc de sainte-flore,shawinigan,québec,,
soccer,ball sports,parc paul-andré-potvin,shawinigan,québec,,
tennis,ball sports,parc paul-andré-potvin,shawinigan,québec,,
